Section,Headline,Link
9 News,"Back in the Oval Office, Zelensky wears a suit and Trump doesn't shout",https://www.9news.com.au/world/usa-ukraine-donald-trump-volodomy-zelenskyy-meeting-suit/ea4dced3-a803-40dd-9841-3647e885fa7f
9 News,Trump stops meeting of world's most powerful to call one man,https://www.9news.com.au/world/donald-trump-volodymyr-zelenskyy-end-war-immediately-claim/68a124c8-d184-4f79-ae24-8dd54177df34
9 News,How the Epstein files have turned Donald Trump's base against him,https://9now.nine.com.au/60-minutes/how-jeffrey-epstein-files-have-turned-donald-trump-base-against-him/d68a08aa-c0b6-4663-8ddc-de454473103c
9 News,Trump and Zelensky's meeting was a success. So what happens now?,https://www.9news.com.au/world/russia-ukraine-war-trump-zelensky-meeting-what-happens-next-explained/52bdcc2b-8e07-447e-9521-273f4a5674e7
Guardian,Trump says Xi told him China will not invade Taiwan while he is in office,https://www.theguardian.com/world/2025/aug/16/donald-trump-xi-jinping-china-taiwan
Guardian,"Tuesday briefing: What last night""s meeting between Trump, Zelenskyy and Europe means for the war in Ukraine",https://www.theguardian.com/world/2025/aug/19/first-edition-europe-ukraine-trump-meeting
Guardian,Florida man who fatally stabbed friend over Trump convicted of second-degree murder,https://www.theguardian.com/us-news/2025/aug/19/florida-man-stabbed-friend-trump-murder-conviction
ABC,"Putin agrees to meet Zelenskyy but without Trump in the room, US president says",https://www.abc.net.au/news/2025-08-19/trump-zelenskyy-europe-white-house-ukraine-peace-talks-takeaways/105670580
Sky News,"EU leaders ""rush to Washington' to convince Trump against ""giving in' to Russia",https://www.skynews.com.au/opinion/andrew-bolt/eu-leaders-rush-to-washington-to-convince-trump-against-giving-in-to-russia/video/72682dca9624863ed0002ed84ced0bee
Sky News,"""Controversy': Red states send troops to aid Trump's Washington crime raid",https://www.skynews.com.au/opinion/controversy-red-states-send-troops-to-aid-trumps-washington-crime-raid/video/62b456268c46d8a6bc582d64c23b26fa
Sky News,"Trump claims trilateral talks in works after ""very good' meeting with Zelensky",https://www.skynews.com.au/world-news/global-affairs/donald-trump-says-a-lot-help-would-be-given-to-ukraines-security-amid-peace-deal-talks-with-president-zelenskyy/news-story/b28b518e8826644c3a13c88100bd2be8
Sky News,"No ambassador, no red carpet: Albo-Trump meeting still far, far away",https://www.skynews.com.au/insights-and-analysis/still-no-ambassador-still-no-red-carpet-albanesetrump-meeting-still-far-away-despite-us-presidents-bear-hug-with-adversaryturnedcooperator-vladimir-putin/news-story/95d9e0cfbfda279d310d825d3493067d
Sky News,Trump admin threatens to pull funds from schools in gender policy dispute,https://www.skynews.com.au/world-news/united-states/trump-administration-threatens-to-pull-federal-funds-from-virginia-school-districts-in-transgender-policy-dispute/news-story/5357eefaec51baed06c6d1092b7175a9
Sky News,Italian PM caught in another White House hot mic moment with Trump,https://www.skynews.com.au/world-news/global-affairs/italian-prime-minister-georgia-meloni-tells-donald-trump-i-never-want-to-speak-to-my-press-in-another-white-house-hot-mic-moment/news-story/c2a54f3b49b38ae99ff17f651ef269b8
Sky News,"Hot mic catches Trump's ""crazy' whisper to Macron before multilateral meeting",https://www.skynews.com.au/world-news/global-affairs/hot-mic-catches-donald-trumps-crazy-whisper-to-french-president-emmanuel-macron-before-multilateral-meeting/news-story/b0f116df2c6a35ce6e1073c9bb4a91fc
Sky News,"Trump changes tune on Ukraine war after Putin meeting: ""Don't need ceasefire'",https://www.skynews.com.au/world-news/united-states/donald-trump-says-ceasefire-not-necessary-for-peace-during-highstakes-meeting-with-zelenskyy/news-story/c0728ad8c438baf8f7198052d2d6282c
